STATION CODE,LOCATIONS,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),C.O.D. (mg/l),B.O.D. (mg/l),NITRATE + NITRITE  (mg/l),AMMONIA - N  (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)
1491,"BHAGIRATHI AT GANGOTRI, UTTARANCHAL",7,9.8,7.1,100,2.6,0,,,0,4550
1484,"ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG, UTTARANCHAL",15,9.7,7.7,141,6,1,0.26,,7993,661571
1485,"MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG, UT",15,9.8,7.5,98,4,0.9,0.29,,8757,2180143
1486,"ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG, UT",15,10.1,7.4,138,6,1,0.24,,3168,384286
1487,"ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG, UT",15,9.8,7.6,128,6,0.9,0.17,,2403,470571
1488,"BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG, UT",15,9.9,7.5,133,6,1,0.26,,93,251143
1489,"ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG, UT",16,9.5,7.6,118,8,0.9,0.24,,453,290129
1060,"GANGA AT RISHIKESH U/S, U.T",19,9.1,7.4,275,12,1.2,,,,317
1061,"GANGA AT HARIDWAR D/S, U.T",20,6.7,6.8,482,18,3.8,,,23,1600
1062,"GANGA AT GARHMUKTESHWAR, U.P",21,8.8,7.5,202,17.1,2.5,0.44,,1724,3883
1145,"GANGA AT NARORA (BULANDSAHAR), U.P.",19,8.5,8.2,195,21.7,3.1,,,872,4257
1063,"GANGA AT KANNAUJ U/S (RAJGHAT), U.P",25,7.8,7.9,71,,3.4,1.77,,2033,8080
1066,"GANGA AT KANNAUJ D/S, U.P",25,7.7,8,72,,3.9,1.8,,3389,10440
1146,"GANGA AT BITHOOR (KANPUR), U.P.",26,7.5,8,37,,2.7,1.42,,2150,7544
1067,"GANGA AT KANPUR U/S (RANIGHAT), U.P",25,7.7,8.1,419,,2.9,1.8,,2633,7580
1068,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",25,5.5,7.9,75,,6.1,2.82,,32889,76100
1147,"GANGA AT DALMAU (RAI BAREILLY), U.P.",24,8.6,7.8,323,22.4,3.3,0.62,0.03,4833,5817
1046,"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",26,8.3,8.2,426,,3.2,2.06,,2950,4925
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",26,8.1,8.2,471,,3.6,2.22,,5150,7983
1070,"GANGA AT VARANASI U/S (ASSIGHAT), U.P",26,8.8,7.3,234,11.2,3.3,0.3,0.1,10000,15000
1071,"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",27,7.1,8.4,303,24.4,11.9,1.17,1.4,81714,125714
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",27,8.2,8.3,287,13.2,4,1.03,1.5,20143,29571
1074,"GANGA AT BUXAR,BIHAR",21,8.8,8.3,339,,2.2,,0.63,2933,6467
1077,"GANGA AT KHURJI, PATNA U/S, BIHAR",19,9.2,8.1,356,,2.1,,0.9,7000,16000
1079,"GANGA AT PATNA D/S (GANGA BRIDGE),BIHAR",17,9.1,8.3,353,,2.4,,1.1,10500,24000
1817,GANGA AT MOKAMA (U/S),21,9,8.2,344,,2.1,,0.75,6000,12500
1815,GANGA AT MOKAMA (D/S),21,8.8,8.1,364,,2.4,,0.7,9000,24000
1818,GANGA AT MUNGER,18,9,8.3,385,,2,,0.7,5000,9000
1819,GANGA AT BHAGALPUR,16,9.3,8.3,360,,2.1,,0.8,5000,16000
1816,GANGA AT KAHALGAON,19,9,7.7,345,,2.2,,0.75,9000,20000
1080,GANGA AT BAHARAMPORE WEST BENGAL,27,6.8,7.7,255,25,2.1,0.3,0.13,33667,57250
1472,"GANGA AT SERAMPORE, WB",27,6.5,8.1,256,5,1.8,0.2,0.13,76750,112500
1053,GANGA AT DAKSHINESHWAR WEST BENGAL,27,6.3,7.8,295,6.6,4,0.29,0.43,237917,483750
1471,"GANGA AT HOWRAH-SHIVPUR, WB",28,6.7,7.8,292,3,2,0.23,0.4,140000,433750
1470,GANGA AT GARDEN REACH WEST BENGAL,30,6,7.9,330,8.6,3.5,0.2,0.3,382500,746250
1052,GANGA AT ULUBERIA WEST BENGAL,27,6.3,7.9,293,5,2.7,0.39,0.4,37917,96167
1054,GANGA AT PALTA WEST BENGAL,27,6.5,7.8,259,28.1,2.3,0.29,0.16,75455,134545
1469,"GANGA AT DIAMOND HARBOUR, WB",31,7,7.9,1835,16,2.2,0.17,0.6,23000,56667
