STATION CODE,LOCATIONS,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)
1491,BHAGIRATHI AT GANGOTRI,7,8.4,7.8,123,-,,,
1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,13.9,8.9,7.8,131,2.7,,1032,17320
1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,13.1,9.6,7.8,99,2.1,,4710,32500
1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,13.8,8.8,7.8,138,1.6,,4103,43500
1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,15,8.8,7.8,146,1.8,,2700,34000
1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,15,8.8,7.8,119,1.7,0.3,343,23250
1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,15.1,9.4,7.9,136,2,0.3,1648,34000
1060,GANGA AT RISHIKESH U/S,19,9,7.7,126,1,,4,13
2725,GANGA A/C OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,21.5,8.1,7.9,387,3.2,,,1750
1061,GANGA AT HARIDWAR D/S,21.2,6.3,7.5,230,6.7,,20,1260
2727,UPPER GANGA RIVER D/S ROORKEE,19.6,8.6,8,194,2.8,,,200
1062,"GANGA AT GARHMUKTESHWAR, U.P",19.8,8.1,7.5,221,4.2,0.66,1517,5192
2488,"GANGA U/S, ANOOPSHAHAR",,8,7.7,152,2.7,,,
2489,"GANGA D/S, ANOOPSHAHAR",,7.9,7.9,160,2.9,,,
1145,"GANGA AT NARORA (BULANDSAHAR), U.P.",,8.2,7.8,160,2.8,,,
2490,"GANGA AT KACHHLA GHAT, ALIGARH",,7.8,7.9,172,3,,,
1063,GANGA AT KANNAUJ U/S (RAJGHAT),25.3,7.2,7.7,38,4,1.34,1058,4700
1066,"GANGA AT KANNAUJ D/S, U.P",25.3,7,7.7,42,5,1.51,1667,7067
1146,"GANGA AT BITHOOR (KANPUR), U.P.",25.3,7.5,7.8,37,3.6,1.25,1067,3708
1067,GANGA AT KANPUR U/S (RANIGHAT),25.3,8.1,7.9,36,3.3,1.49,1083,3608
1068,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",25.3,6.3,7.7,47,6.1,1.86,8558,74167
1147,GANGA AT DALMAU (RAI BAREILLY),22.5,7.5,7.3,394,3.5,0.77,5367,7858
2498,"GANGA AT KALA KANKAR, RAEBARELI",23.1,7.5,7.3,400,3.5,0.79,5375,7967
1046,"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",24.5,7.7,8.3,445,4.4,2.05,3367,7417
2487,"GANGA AT KADAGHAT, ALLAHABAD",24.6,7.8,8.3,445,3.9,1.87,2758,5083
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",25,7.3,8.3,536,4.6,1.9,4017,10000
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",29,,8.1,425,2.7,1.5,,
2486,"GANGA D/S, MIRZAPUR",28.5,,8,434,3.1,4,,
1070,GANGA AT VARANASI U/S (ASSIGHAT),24.4,8,7.5,309,3.9,,8730,21340
1071,"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",24.9,7.3,8.3,337,8.9,,44400,71000
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",25.2,7.6,7.9,310,4.3,,13800,18000
1074,"GANGA AT BUXAR,BIHAR",24.2,8.6,8.2,350,2.8,0.9,1889,4600
