STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)
1491,BHAGIRATHI AT GANGOTRI ,UTTARAKHAND,5.5,8.5,7.9,95,,0.15,,
1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,UTTARAKHAND,16.6,9.6,8,145,,0.08,2500,9300
1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG ,UTTARAKHAND,16.6,8.8,8,115,,0.08,1800,25150
1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG ,UTTARAKHAND,17.6,9.3,8.1,150,0.7,0.08,16650,46000
1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,18.4,9.1,8.1,141,1.2,0.09,5100,9650
1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,UTTARAKHAND,18.3,8.6,8,135,1,0.06,650,3200
1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,18.4,8.7,8.1,132,0.7,0.08,27650,67000
1060,GANGA AT RISHIKESH U/S,UTTARAKHAND,17.1,9.1,7.7,121,1.7,,,99
2725,A/C R.SONG NR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,21.9,7.8,7.7,305,4.5,,800,4467
1061,GANGA AT HARIDWAR D/S,UTTARAKHAND,20,6.7,7.6,196,5.6,,1150,50917
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,19.4,8.3,7.8,157,2.5,,8,377
1062,GANGA AT GARHMUKTESHWAR,UTTAR PRADESH,19.6,8.2,7.4,221,3.4,0.5,1162,2497
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,18.3,8.4,7.4,196,2.8,0.21,673,1377
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,18.5,8.3,7.6,230,3.6,0.23,783,1713
1145,GANGA AT NARORA (BULANDSAHAR),UTTAR PRADESH,19.2,8.7,7.5,189,3.1,0.23,420,850
2490,"AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,20.3,8.3,7.4,206,3.7,0.28,840,1743
1063,GANGA AT KANNAUJ U/S (RAJGHAT),UTTAR PRADESH,25.6,7.9,8,327,4.5,2.25,3042,10075
1066,GANGA AT KANNAUJ D/S,UTTAR PRADESH,25.6,7.8,8,324,5.5,2.25,3508,20208
1146,GANGA AT BITHOOR (KANPUR),UTTAR PRADESH,25.6,8.7,8.2,510,4,1.7,1700,7750
1067,GANGA AT KANPUR U/S (RANIGHAT),UTTAR PRADESH,25.8,8.6,8.2,316,4.3,2.03,6667,31992
1068,AT KANPUR D/S (JAJMAU PUMPING STATION),UTTAR PRADESH,25.8,6.9,8,381,8.4,2.77,38942,151333
1147,GANGA AT DALMAU (RAI BAREILLY),UTTAR PRADESH,20.7,7.8,7.9,281,3.8,0.85,5300,7775
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,20.9,7.7,7.8,261,3.8,0.84,4980,7510
1046,AT ALLAHABAD (RASOOLABAD),UTTAR PRADESH,25.6,7.2,8,387,4.2,1.71,3358,7750
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,25.7,7.6,7.9,374,3.6,1.65,2492,4167
