STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,D.O. (mg/l),pH,CONDUCTIVITY (µmhos/cm),B.O.D. (mg/l),NITRATE- N+ NITRITE-N (mg/l),FECAL COLIFORM (MPN/100ml),TOTAL COLIFORM (MPN/100ml)
1491,"BHAGIRATHI AT GANGOTRI, UTTAR PRADESH",UTTARAKHAND,5.2,8.6,8.5,126,,0,220,220
1484,"ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG, UTTAR PRADESH",UTTARAKHAND,15.4,8.7,8.1,124,0.7,0,790,1700
1486,"ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,16,8.6,8.1,183,1.4,0,78,230
1488,"BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG, U.P",UTTARAKHAND,17.1,9,8.2,170,1.2,0,40,140
1489,"ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,16.8,8.6,8.3,151,1.6,0,45,330
1060,"GANGA AT RISHIKESH U/S, U.P",UTTARAKHAND,16.8,8.6,7.9,,1.5,0,,32
2725,GANGA RIVER AFTER CONFLUENCE OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,20,6.7,7.9,,5.5,0,,1283
1061,"GANGA AT HARIDWAR D/S, U.P",UTTARAKHAND,19,6.5,7.8,,5.2,0,,1245
2727,UPPER GANGA RIVER D/S ROORKEE,UTTARAKHAND,15,7.9,8.1,,2.5,0,,235
1062,"GANGA AT GARHMUKTESHWAR, U.P",UTTAR PRADESH,21.9,9,7.4,273,2.9,1,767,1402
2488,"GANGA U/S, ANOOPSHAHAR",UTTAR PRADESH,,,7.4,241,2.6,0,,
2489,"GANGA D/S, ANOOPSHAHAR",UTTAR PRADESH,,,7.4,243,2.5,0,,
1145,"GANGA AT NARORA (BULANDSAHAR), U.P.",UTTAR PRADESH,,,7.4,243,2.4,0,,
2490,"GANGA AT KACHHLA GHAT, ALIGARH",UTTAR PRADESH,,,7.5,257,2.4,0,,
1063,"GANGA AT KANNAUJ U/S (RAJGHAT), U.P",UTTAR PRADESH,25.8,8.2,8,45,4,3,1210,4075
1066,"GANGA AT KANNAUJ D/S, U.P",UTTAR PRADESH,25.3,7.9,8.1,44,4.2,2,1569,4638
1146,"GANGA AT BITHOOR (KANPUR), U.P.",UTTAR PRADESH,25.6,8.5,8.1,41,3.2,2,1300,3792
1067,"GANGA AT KANPUR U/S (RANIGHAT), U.P",UTTAR PRADESH,25.6,8.3,8.1,37,3.4,2,1438,6992
1068,"GANGA AT KANPUR D/S (JAJMAU PUMPING STATION), U.P",UTTAR PRADESH,25.6,6.8,8.1,59,6.7,3,13292,70462
1147,"GANGA AT DALMAU (RAI BAREILLY), U.P.",UTTAR PRADESH,19.1,8.3,7.8,212,3.6,1,4645,7591
2498,"GANGA AT KALA KANKAR, RAEBARELI",UTTAR PRADESH,19.1,8.4,7.8,208,3.4,1,4400,7355
1046,"GANGA AT ALLAHABAD (RASOOLABAD), U.P.",UTTAR PRADESH,24.7,8.5,8.2,367,3.6,2,5033,21417
2487,"GANGA AT KADAGHAT, ALLAHABAD",UTTAR PRADESH,24.3,8.4,8.2,374,3.4,2,16100,22417
1049,"GANGA AT ALLAHABAD D/S (SANGAM), U.P.",UTTAR PRADESH,24.7,8.2,8.3,429,3.6,3,6475,24333
2485,"GANGA U/S, VINDHYACHAL, MIRZAPUR",UTTAR PRADESH,26.2,8.8,7.9,362,2.6,2,1441,3542
2486,"GANGA D/S, MIRZAPUR",UTTAR PRADESH,27.2,8.4,7.9,365,3.1,2,2808,4600
1070,"GANGA AT VARANASI U/S (ASSIGHAT), U.P",UTTAR PRADESH,23.2,8.4,8.2,291,3,0,5500,8833
1071,"GANGA AT VARANASI D/S (MALVIYA BRIDGE), U.P",UTTAR PRADESH,23.2,7.9,8.5,327,4.6,1.64,34500,49500
1073,"GANGA AT TRIGHAT (GHAZIPUR), U.P",UTTAR PRADESH,23.6,7.9,8.4,336,3.7,0,15167,22500
1074,"GANGA AT BUXAR,BIHAR",BIHAR,17,8.6,8.4,387,2.7,0,1913,5250
2551,"GANGA AT BUXAR, RAMREKHAGHAT",BIHAR,26.5,7.9,8,391,2.7,0,4925,13143
1077,"GANGA AT KHURJI, PATNA U/S, BIHAR",BIHAR,24.9,8,8.1,341,2.6,0,2356,5378
2556,"GANGA AT INDRAPURI, DEHRI ON SONE",BIHAR,23.2,8,7.8,161,2.2,0,650,1733
2564,"GANGA  AT THE CONFLUENCE OF SONE RIVER DORIGANJ, CHAPRA",BIHAR,25.7,8.3,8.1,304,2.5,0,1729,3929
2552,GANGA DARBHANGA GHAT AT PATNA,BIHAR,25.1,7.8,7.9,350,2.7,0,7378,19571
1079,"GANGA AT PATNA D/S (GANGA BRIDGE), BIHAR",BIHAR,25.2,7.9,7.8,357,2.8,0,5222,14143
2555,"GANGA AT PUNPUN, PATNA",BIHAR,25.7,7.7,7.9,444,4,0,1713,3463
